SiO2,B2O3,Na2O,Al2O3,CaO,ZrO2,Li2O,K2O,MgO,MnO,Fe2O3,P2O5,TiO2,ZnO,MoO3,Cs2O,NiO,SrO,Cr2O3,Y2O3,MnO2,Ag2O,CdO,SnO2,TeO2,BaO,La2O3,Ce2O3,Pr2O3,Nd2O3,N,V2O5,U3O8,PuO2,Cl,F,SO3,RuO2,Sm2O3,CeO2,Pr6O11,Rb2O,UO2,CoO,GdO,SnO,Sb2O3,Gd2O3,ZnO2,CuO,PdO,Md2O3,SO4,FeO,others,pH,Temp (Celsius),rate (gm/m2/day)
50.27241015,0,0,8.717799505,26.06523638,0,0,0,0,0,0,0,11.61271401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.331839954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.74,90,0.05314226
50.27241015,0,0,8.717799505,26.06523638,0,0,0,0,0,0,0,11.61271401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.331839954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.01,90,0.056539482
50.27241015,0,0,8.717799505,26.06523638,0,0,0,0,0,0,0,11.61271401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.331839954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.24,90,0.055568847
50.27241015,0,0,8.717799505,26.06523638,0,0,0,0,0,0,0,11.61271401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.331839954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.42,90,0.058480752
50.27241015,0,0,8.717799505,26.06523638,0,0,0,0,0,0,0,11.61271401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.331839954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1,150,1.060418606
50.27241015,0,0,8.717799505,26.06523638,0,0,0,0,0,0,0,11.61271401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.331839954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,150,0.427079347
50.27241015,0,0,8.717799505,26.06523638,0,0,0,0,0,0,0,11.61271401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.331839954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.13,150,0.446492045
50.27241015,0,0,8.717799505,26.06523638,0,0,0,0,0,0,0,11.61271401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.331839954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.03,200,3.979603008
50.27241015,0,0,8.717799505,26.06523638,0,0,0,0,0,0,0,11.61271401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.331839954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.58,200,1.606400726
50.27241015,0,0,8.717799505,26.06523638,0,0,0,0,0,0,0,11.61271401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.331839954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.58,200,1.451099146
50.27241015,0,0,8.717799505,26.06523638,0,0,0,0,0,0,0,11.61271401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.331839954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.38,200,1.305503914
50.27241015,0,0,8.717799505,26.06523638,0,0,0,0,0,0,0,11.61271401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.331839954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.3,200,0.92695631
50.27241015,0,0,8.717799505,26.06523638,0,0,0,0,0,0,0,11.61271401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.331839954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.15,200,0.596940451
50.27241015,0,0,8.717799505,26.06523638,0,0,0,0,0,0,0,11.61271401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.331839954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.68,200,0.332442446
50.27241015,0,0,8.717799505,26.06523638,0,0,0,0,0,0,0,11.61271401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.331839954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.29,200,0.194612293
48.70306986,0,0,8.451453845,25.25238905,4.953486742,0,0,0,0,0,0,11.24815122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.391449287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.15,90,0.03979603
48.70306986,0,0,8.451453845,25.25238905,4.953486742,0,0,0,0,0,0,11.24815122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.391449287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.92,90,0.041009324
